username,content,label,cleaning,tokenizing,stopword,stemming,final
Pengguna Google,"Aplikasinya masih banyak bug. Tidak bisa mengubah informasi akun seperti nomor telepon. Setelah berhasil login sekali di Coretax, saat logout dan coba login lagi malah tidak bisa masuk. Mohon diperbaiki, karena sangat mengganggu. Selain itu, tidak ada notifikasi error yang jelas, jadi pengguna bingung harus melakukan apa. Untuk aplikasi yang berkaitan dengan pajak, seharusnya sistem lebih stabil dan dapat diandalkan.",negatif,aplikasinya masih banyak bug tidak bisa mengubah informasi akun seperti nomor telepon setelah berhasil login sekali di coretax saat logout dan coba login lagi malah tidak bisa masuk mohon diperbaiki karena sangat mengganggu selain itu tidak ada notifikasi error yang jelas jadi pengguna bingung harus melakukan apa untuk aplikasi yang berkaitan dengan pajak seharusnya sistem lebih stabil dan dapat diandalkan,"aplikasinya, masih, banyak, bug, tidak, bisa, mengubah, informasi, akun, seperti, nomor, telepon, setelah, berhasil, login, sekali, di, coretax, saat, logout, dan, coba, login, lagi, malah, tidak, bisa, masuk, mohon, diperbaiki, karena, sangat, mengganggu, selain, itu, tidak, ada, notifikasi, error, yang, jelas, jadi, pengguna, bingung, harus, melakukan, apa, untuk, aplikasi, yang, berkaitan, dengan, pajak, seharusnya, sistem, lebih, stabil, dan, dapat, diandalkan","aplikasinya, bug, mengubah, informasi, akun, nomor, telepon, berhasil, login, coretax, logout, coba, login, masuk, mohon, diperbaiki, mengganggu, notifikasi, error, pengguna, bingung, aplikasi, berkaitan, pajak, sistem, stabil, diandalkan","aplikasi, bug, ubah, informasi, akun, nomor, telepon, hasil, login, coretax, logout, coba, login, masuk, mohon, baik, ganggu, notifikasi, error, guna, bingung, aplikasi, kait, pajak, sistem, stabil, andal",aplikasi bug ubah informasi akun nomor telepon hasil login coretax logout coba login masuk mohon baik ganggu notifikasi error guna bingung aplikasi kait pajak sistem stabil andal
Pengguna Google,"Kesel banget, mw daftar aja kek apaan sih. Mana makan pulsa, tolong lah ya kan diperbaiki, kok bisa tombol lanjutannya gak bisa dipencet padahal sinyal bagus aja. Apa gunanya ni apk kalo ujung2nya mw daftar mesti ke kantor pajak jga, hadeh",negatif,kesel banget mw daftar aja kek apaan sih mana makan pulsa tolong lah ya kan diperbaiki kok bisa tombol lanjutannya gak bisa dipencet padahal sinyal bagus aja apa gunanya ni apk kalo ujungnya mw daftar mesti ke kantor pajak jga hadeh,"kesel, banget, mw, daftar, aja, kek, apaan, sih, mana, makan, pulsa, tolong, lah, ya, kan, diperbaiki, kok, bisa, tombol, lanjutannya, gak, bisa, dipencet, padahal, sinyal, bagus, aja, apa, gunanya, ni, apk, kalo, ujungnya, mw, daftar, mesti, ke, kantor, pajak, jga, hadeh","kesel, banget, mw, daftar, aja, kek, sih, makan, pulsa, tolong, ya, diperbaiki, tombol, lanjutannya, gak, dipencet, sinyal, bagus, aja, gunanya, ni, apk, kalo, ujungnya, mw, daftar, mesti, kantor, pajak, jga, hadeh","kesel, banget, mw, daftar, aja, kek, sih, makan, pulsa, tolong, ya, baik, tombol, lanjut, gak, pencet, sinyal, bagus, aja, guna, ni, apk, kalo, ujung, mw, daftar, mesti, kantor, pajak, jga, hadeh",kesel banget mw daftar aja kek sih makan pulsa tolong ya baik tombol lanjut gak pencet sinyal bagus aja guna ni apk kalo ujung mw daftar mesti kantor pajak jga hadeh
Pengguna Google,"apk begini masi di pake, jelek banget , fiturnya tidak lengkap, login susah, padahal sandi sudah betul dan lain lain, pas di inputnya eror truss, malah email-nya tidak di konfigurasi katanyaa. pas mau aktivasi udah jelass email-nya tertera dan email yg sama aku pake buat login malah tidak bisa, kesediaan cs nya juga tidak ada. apk rendah banget ya, buat pajak , pajakkk tapi di korup aja tuhh modal kembangkan apk gini kagak bisa bisa haduhh, bukanya juga tingkatkan pelayanan malah bobrok,",negatif,apk begini masi di pake jelek banget  fiturnya tidak lengkap login susah padahal sandi sudah betul dan lain lain pas di inputnya eror truss malah emailnya tidak di konfigurasi katanyaa pas mau aktivasi udah jelass emailnya tertera dan email yg sama aku pake buat login malah tidak bisa kesediaan cs nya juga tidak ada apk rendah banget ya buat pajak  pajakkk tapi di korup aja tuhh modal kembangkan apk gini kagak bisa bisa haduhh bukanya juga tingkatkan pelayanan malah bobrok,"apk, begini, masi, di, pake, jelek, banget, fiturnya, tidak, lengkap, login, susah, padahal, sandi, sudah, betul, dan, lain, lain, pas, di, inputnya, eror, truss, malah, emailnya, tidak, di, konfigurasi, katanyaa, pas, mau, aktivasi, udah, jelass, emailnya, tertera, dan, email, yg, sama, aku, pake, buat, login, malah, tidak, bisa, kesediaan, cs, nya, juga, tidak, ada, apk, rendah, banget, ya, buat, pajak, pajakkk, tapi, di, korup, aja, tuhh, modal, kembangkan, apk, gini, kagak, bisa, bisa, haduhh, bukanya, juga, tingkatkan, pelayanan, malah, bobrok","apk, masi, pake, jelek, banget, fiturnya, lengkap, login, susah, sandi, pas, inputnya, eror, truss, emailnya, konfigurasi, katanyaa, pas, aktivasi, udah, jelass, emailnya, tertera, email, yg, pake, login, kesediaan, cs, nya, apk, rendah, banget, ya, pajak, pajakkk, korup, aja, tuhh, modal, kembangkan, apk, gini, kagak, haduhh, bukanya, tingkatkan, pelayanan, bobrok","apk, mas, pake, jelek, banget, fiturnya, lengkap, login, susah, sandi, pas, inputnya, eror, truss, email, konfigurasi, katanyaa, pas, aktivasi, udah, jelass, email, tera, email, yg, pake, login, sedia, cs, nya, apk, rendah, banget, ya, pajak, pajakkk, korup, aja, tuhh, modal, kembang, apk, gin, kagak, haduhh, buka, tingkat, layan, bobrok",apk mas pake jelek banget fiturnya lengkap login susah sandi pas inputnya eror truss email konfigurasi katanyaa pas aktivasi udah jelass email tera email yg pake login sedia cs nya apk rendah banget ya pajak pajakkk korup aja tuhh modal kembang apk gin kagak haduhh buka tingkat layan bobrok
Pengguna Google,"aplikasinya sampah gak bisa buat login padahal sudh di verifikasi, sering ulang kata sandi via email yg terdaftar malah keterangan emailnya tidak valid, di ubah ke nomer, malah gak dpt notifikasi nya..", negatif,aplikasinya sampah gak bisa buat login padahal sudh di verifikasi sering ulang kata sandi via email yg terdaftar malah keterangan emailnya tidak valid di ubah ke nomer malah gak dpt notifikasi nya,"aplikasinya, sampah, gak, bisa, buat, login, padahal, sudh, di, verifikasi, sering, ulang, kata, sandi, via, email, yg, terdaftar, malah, keterangan, emailnya, tidak, valid, di, ubah, ke, nomer, malah, gak, dpt, notifikasi, nya","aplikasinya, sampah, gak, login, sudh, verifikasi, ulang, sandi, via, email, yg, terdaftar, keterangan, emailnya, valid, ubah, nomer, gak, dpt, notifikasi, nya","aplikasi, sampah, gak, login, sudh, verifikasi, ulang, sandi, via, email, yg, daftar, terang, email, valid, ubah, nomer, gak, dpt, notifikasi, nya",aplikasi sampah gak login sudh verifikasi ulang sandi via email yg daftar terang email valid ubah nomer gak dpt notifikasi nya
Pengguna Google,"aktivasi masukin NIK/NPWP ud bener tp data gk ditemukan berkali kali. tp di tlp suruh download, nyatanya aplikasi gk bisa dipake. bikin aplikasi trial error dulu baru, ud smooth baru pengguna suruh download. dah ah cape,",negatif,aktivasi masukin niknpwp ud bener tp data gk ditemukan berkali kali tp di tlp suruh download nyatanya aplikasi gk bisa dipake bikin aplikasi trial error dulu baru ud smooth baru pengguna suruh download dah ah cape,"aktivasi, masukin, niknpwp, ud, bener, tp, data, gk, ditemukan, berkali, kali, tp, di, tlp, suruh, download, nyatanya, aplikasi, gk, bisa, dipake, bikin, aplikasi, trial, error, dulu, baru, ud, smooth, baru, pengguna, suruh, download, dah, ah, cape","aktivasi, masukin, niknpwp, ud, bener, tp, data, gk, ditemukan, berkali, kali, tp, tlp, suruh, download, aplikasi, gk, dipake, bikin, aplikasi, trial, error, ud, smooth, pengguna, suruh, download, dah, ah, cape","aktivasi, masukin, niknpwp, ud, bener, tp, data, gk, temu, kali, kali, tp, tlp, suruh, download, aplikasi, gk, dipake, bikin, aplikasi, trial, error, ud, smooth, guna, suruh, download, dah, ah, cape",aktivasi masukin niknpwp ud bener tp data gk temu kali kali tp tlp suruh download aplikasi gk dipake bikin aplikasi trial error ud smooth guna suruh download dah ah cape
Pengguna Google,"aplikasi membingungkan dan bikin pusing orang. sudah berjam2 tidak bisa dipakai.. padahal sudah masukin data, sandi, dengan benar tapi selalu di ulang2 terus. udah verikasi swafoto trs suruh ganti sandi tapi selalu stuck disitu trs.. ini mah bukan mempermudah tp bikin mumet. lapor pajak aja sampe repot begini.",negatif,aplikasi membingungkan dan bikin pusing orang sudah berjam tidak bisa dipakai padahal sudah masukin data sandi dengan benar tapi selalu di ulang terus udah verikasi swafoto trs suruh ganti sandi tapi selalu stuck disitu trs ini mah bukan mempermudah tp bikin mumet lapor pajak aja sampe repot begini,"aplikasi, membingungkan, dan, bikin, pusing, orang, sudah, berjam, tidak, bisa, dipakai, padahal, sudah, masukin, data, sandi, dengan, benar, tapi, selalu, di, ulang, terus, udah, verikasi, swafoto, trs, suruh, ganti, sandi, tapi, selalu, stuck, disitu, trs, ini, mah, bukan, mempermudah, tp, bikin, mumet, lapor, pajak, aja, sampe, repot, begini","aplikasi, membingungkan, bikin, pusing, orang, berjam, dipakai, masukin, data, sandi, ulang, udah, verikasi, swafoto, trs, suruh, ganti, sandi, stuck, disitu, trs, mah, mempermudah, tp, bikin, mumet, lapor, pajak, aja, sampe, repot","aplikasi, bingung, bikin, pusing, orang, jam, pakai, masukin, data, sandi, ulang, udah, verikasi, swafoto, trs, suruh, ganti, sandi, stuck, situ, trs, mah, mudah, tp, bikin, mumet, lapor, pajak, aja, sampe, repot",aplikasi bingung bikin pusing orang jam pakai masukin data sandi ulang udah verikasi swafoto trs suruh ganti sandi stuck situ trs mah mudah tp bikin mumet lapor pajak aja sampe repot
Pengguna Google,"Mending balik lagi metodenya ke tahun kemarin lebih enak. Sekarang kok ribet bener. Login udah berapa kali disuruh ganti sandi, verifikasi lewat no telepon atau email juga kagak ada Mulu. Tulisannya selalu aja ""kesalahan"".",negatif,mending balik lagi metodenya ke tahun kemarin lebih enak sekarang kok ribet bener login udah berapa kali disuruh ganti sandi verifikasi lewat no telepon atau email juga kagak ada mulu tulisannya selalu aja kesalahan,"mending, balik, lagi, metodenya, ke, tahun, kemarin, lebih, enak, sekarang, kok, ribet, bener, login, udah, berapa, kali, disuruh, ganti, sandi, verifikasi, lewat, no, telepon, atau, email, juga, kagak, ada, mulu, tulisannya, selalu, aja, kesalahan","mending, metodenya, kemarin, enak, ribet, bener, login, udah, kali, disuruh, ganti, sandi, verifikasi, no, telepon, email, kagak, mulu, tulisannya, aja, kesalahan","mending, metode, kemarin, enak, ribet, bener, login, udah, kali, suruh, ganti, sandi, verifikasi, no, telepon, email, kagak, mulu, tulis, aja, salah",mending metode kemarin enak ribet bener login udah kali suruh ganti sandi verifikasi no telepon email kagak mulu tulis aja salah
Pengguna Google,"aplikasi BUSUK, mau daftar pajak aja mengisi kontak wajib pajak padahal email dan no hp sudah di isi dan di verifikasi dengan benar, tombol lanjut malah ga aktif atau muncul (gabisa di klik) jadi stuck. hidup di negara KORUP ya gini",negatif,aplikasi busuk mau daftar pajak aja mengisi kontak wajib pajak padahal email dan no hp sudah di isi dan di verifikasi dengan benar tombol lanjut malah ga aktif atau muncul gabisa di klik jadi stuck hidup di negara korup ya gini,"aplikasi, busuk, mau, daftar, pajak, aja, mengisi, kontak, wajib, pajak, padahal, email, dan, no, hp, sudah, di, isi, dan, di, verifikasi, dengan, benar, tombol, lanjut, malah, ga, aktif, atau, muncul, gabisa, di, klik, jadi, stuck, hidup, di, negara, korup, ya, gini","aplikasi, busuk, daftar, pajak, aja, mengisi, kontak, wajib, pajak, email, no, hp, isi, verifikasi, tombol, ga, aktif, muncul, gabisa, klik, stuck, hidup, negara, korup, ya, gini","aplikasi, busuk, daftar, pajak, aja, isi, kontak, wajib, pajak, email, no, hp, isi, verifikasi, tombol, ga, aktif, muncul, gabisa, klik, stuck, hidup, negara, korup, ya, gin",aplikasi busuk daftar pajak aja isi kontak wajib pajak email no hp isi verifikasi tombol ga aktif muncul gabisa klik stuck hidup negara korup ya gin
Pengguna Google,Gimana si... Validasi foto gagal mulu. Notifikasi nya tidak sesuai dgn foto di database. Foto kapan??? Kalo berdasarkan foto KTP ya itu foto udh 20tahun lebih. Mana cocok??? Duit gw yg dipotong buat pajak buat aplikasi kaya gini???, negatif,gimana si validasi foto gagal mulu notifikasi nya tidak sesuai dgn foto di database foto kapan kalo berdasarkan foto ktp ya itu foto udh tahun lebih mana cocok duit gw yg dipotong buat pajak buat aplikasi kaya gini,"gimana, si, validasi, foto, gagal, mulu, notifikasi, nya, tidak, sesuai, dgn, foto, di, database, foto, kapan, kalo, berdasarkan, foto, ktp, ya, itu, foto, udh, tahun, lebih, mana, cocok, duit, gw, yg, dipotong, buat, pajak, buat, aplikasi, kaya, gini","gimana, si, validasi, foto, gagal, mulu, notifikasi, nya, sesuai, dgn, foto, database, foto, kalo, berdasarkan, foto, ktp, ya, foto, udh, cocok, duit, gw, yg, dipotong, pajak, aplikasi, kaya, gini","gimana, si, validasi, foto, gagal, mulu, notifikasi, nya, sesuai, dgn, foto, database, foto, kalo, dasar, foto, ktp, ya, foto, udh, cocok, duit, gw, yg, potong, pajak, aplikasi, kaya, gin",gimana si validasi foto gagal mulu notifikasi nya sesuai dgn foto database foto kalo dasar foto ktp ya foto udh cocok duit gw yg potong pajak aplikasi kaya gin
Pengguna Google,"aplikasi dan web paling jelek, gaa up to date banget. loading lama, ilang mulu, gaa efektif dan efisien banget. plisa dong apus ajaa web kaya gini, yang niat kalo bikin web, yang proper, masa web sekelas kemenkeu kaya gini",negatif,aplikasi dan web paling jelek gaa up to date banget loading lama ilang mulu gaa efektif dan efisien banget plisa dong apus ajaa web kaya gini yang niat kalo bikin web yang proper masa web sekelas kemenkeu kaya gini,"aplikasi, dan, web, paling, jelek, gaa, up, to, date, banget, loading, lama, ilang, mulu, gaa, efektif, dan, efisien, banget, plisa, dong, apus, ajaa, web, kaya, gini, yang, niat, kalo, bikin, web, yang, proper, masa, web, sekelas, kemenkeu, kaya, gini","aplikasi, web, jelek, gaa, up, to, date, banget, loading, ilang, mulu, gaa, efektif, efisien, banget, plisa, apus, ajaa, web, kaya, gini, niat, kalo, bikin, web, proper, web, sekelas, kemenkeu, kaya, gini","aplikasi, web, jelek, gaa, up, to, date, banget, loading, ilang, mulu, gaa, efektif, efisien, banget, plisa, apus, ajaa, web, kaya, gin, niat, kalo, bikin, web, proper, web, kelas, kemenkeu, kaya, gin",aplikasi web jelek gaa up to date banget loading ilang mulu gaa efektif efisien banget plisa apus ajaa web kaya gin niat kalo bikin web proper web kelas kemenkeu kaya gin
